abakować,abakuję,abakujesz,abakuje,abakujemy,abakujecie,abakują
antydatować,antydatuję,antydatujesz,antydatuje,antydatujemy,antydatujecie,antydatują
anulować,anuluję,anulujesz,anuluje,anulujemy,anulujecie,anulują
apatycznieć,apatycznieję,apatyczniejesz,apatycznieje,apatyczniejemy,apatyczniejecie,apatycznieją
apelować,apeluję,apelujesz,apeluje,apelujemy,apelujecie,apelują
aplikować,aplikuję,aplikujesz,aplikuje,aplikujemy,aplikujecie,aplikują
aportować,aportuję,aportujesz,aportuje,aportujemy,aportujecie,aportują
apostołować,apostołuję,apostołujesz,apostołuje,apostołujemy,apostołujecie,apostołują
aprobować,aprobuję,aprobujesz,aprobuje,aprobujemy,aprobujecie,aprobują
arendować,arenduję,arendujesz,arenduje,arendujemy,arendujecie,arendują
aresztować,aresztuję,aresztujesz,aresztuje,aresztujemy,aresztujecie,aresztują
arfować,arfuję,arfujesz,arfuje,arfujemy,arfujecie,arfują
artykułować,artykułuję,artykułujesz,artykułuje,artykułujemy,artykułujecie,artykułują
asfaltować,asfaltuję,asfaltujesz,asfaltuje,asfaltujemy,asfaltujecie,asfaltują
asocjować,asocjuję,asocjujesz,asocjuje,asocjujemy,asocjujecie,asocjują
astrologować,astrologuję,astrologujesz,astrologuje,astrologujemy,astrologujecie,astrologują
asystować,asystuję,asystujesz,asystuje,asystujemy,asystujecie,asystują
atakować,atakuję,atakujesz,atakuje,atakujemy,atakujecie,atakują
atandzić,atandzę,atandzisz,atandzi,atandzimy,atandzicie,atandzą
ateizować,ateizuję,ateizujesz,ateizuje,ateizujemy,ateizujecie,ateizują
atestować,atestuję,atestujesz,atestuje,atestujemy,atestujecie,atestują
automatyzować,automatyzuję,automatyzujesz,automatyzuje,automatyzujemy,automatyzujecie,automatyzują
automatyzować się,automatyzuję się,automatyzujesz się,automatyzuje się,automatyzujemy się,automatyzujecie się,automatyzują się
autoryzować,autoryzuję,autoryzujesz,autoryzuje,autoryzujemy,autoryzujecie,autoryzują
awanturować się,awanturuję się,awanturujesz się,awanturuje się,awanturujemy się,awanturujecie się,awanturują się
bąbelkować,bąbelkuję,bąbelkujesz,bąbelkuje,bąbelkujemy,bąbelkujecie,bąbelkują
babieć,babieję,babiejesz,babieje,babiejemy,babiejecie,babieją
babrać,babrzę,babrzesz,babrze,babrzemy,babrzecie,babrzą
bać się,boję się,boisz się,boi się,boimy się,boicie się,boją się
bachać się,bacham się,bachasz się,bacha się,bachamy się,bachacie się,bachają się
bachować,bachuję,bachujesz,bachuje,bachujemy,bachujecie,bachują
baczyć,baczę,baczysz,baczy,baczymy,baczycie,baczą
badać,badam,badasz,bada,badamy,badacie,badają
badać się,badam się,badasz się,bada się,badamy się,badacie się,badają się
bagatelizować,bagatelizuję,bagatelizujesz,bagatelizuje,bagatelizujemy,bagatelizujecie,bagatelizują
bagrować,bagruję,bagrujesz,bagruje,bagrujemy,bagrujecie,bagrują
bajać,baję; bajam,bajesz; bajasz,baje; baja,bajemy; bajamy,bajecie; bajacie,bają; bajają
bajerować,bajeruję,bajerujesz,bajeruje,bajerujemy,bajerujecie,bajerują
bajtlować,bajtluję,bajtlujesz,bajtluje,bajtlujemy,bajtlujecie,bajtlują
balangować,balanguję,balangujesz,balanguje,balangujemy,balangujecie,balangują
balansować,balansuję,balansujesz,balansuje,balansujem,balansujecie,balansują
balować,baluję,balujesz,baluje,balujemy,balujecie,balują
balsamować,balsamuję,balsamujesz,balsamuje,balsamujemy,balsamujecie,balsamują
bandażować,bandażuję,bandażujesz,bandażuje,bandażujemy,bandażujecie,bandażują
bandurzyć,bandurzę,bandurzysz,bandurzy,bandurzymy,bandurzycie,bandurzą
banitować,banituję,banitujesz,banituje,banitujemy,banitujecie,banitują
bankrócić,bankrócę,bankrócisz,bankróci,bankrócimy,bankrócicie,bankrócą
baraszkować,baraszkuję,baraszkujesz,baraszkuje,baraszkujemy,baraszkujecie,baraszkują
barwić,barwię,barwisz,barwi,barwimy,barwicie,barwią
barwić się,barwię się,barwisz się,barwi się,barwimy się,barwicie się,barwią się
barykadować,barykaduję,barykadujesz,barykaduje,barykadujemy,barykadujecie,barykadują
barykadować się,barykaduję się,barykadujesz się,barykaduje się,barykadujemy się,barykadujecie się,barykadują się
barłożyć się,barłożę się,barłożysz się,barłoży się,barłożymy się,barłożycie się,barłożą się
batożyć,batożę,batożysz,batoży,batożymy,batożycie,batożą
bawić,bawię,bawisz,bawi,bawimy,bawicie,bawiąc
bawić się,bawię się,bawisz się,bawi się,bawimy się,bawicie się,bawią się
bazgrać,bazgram,bazgrasz,bazgra,bazgramy,bazgracie,bazgrają
bazować,bazuję,bazujesz,bazuje,bazujemy,bazujecie,bazują
bałaganić,bałaganię,bałaganisz,bałagani,bałaganimy,bałaganicie,bałaganią
bałamoncić,bałamoncę,bałamoncisz,bałamonci,bałamoncimy,bałamoncicie,bałamoncą
bałamucić,bałamucę,bałamucisz,bałamuci,bałamucimy,bałamucicie,bałamucą
beatyfikować,beatyfikuję,beatyfikujesz,beatyfikuje,beatyfikujemy,beatyfikujecie,beatyfikują
bębnić,bębnię,bębnisz,bębni,bębnimy,bębnicie,bębnią
beczeć,beczę,beczysz,beczy,beczymy,beczycie,beczą
bekać,bekam,bekasz,beka,bekamy,bekacie,bekają
beknąć,beknę,bekniesz,beknie,bekniemy,bekniecie,bekną
besztać,besztam,besztasz,beszta,besztamy,besztacie,besztają
betonować,betonuję,betonujesz,betonuje,betonujemy,betonujecie,betonują
bełtać,bełtam,bełtasz,bełta,bełtamy,bełtacie,bełtają
bić,biję,bijesz,bije,bijemy,bijecie,biją
bić się,biję się,bijesz się,bije się,bijemy się,bijecie się,biją się
biec,biegnę,biegniesz,biegnie,biegniemy,biegniecie,biegną
biednieć,biednieję,biedniejesz,biednieje,biedniejemy,biedniejecie,biednieją
biegać,biegam,biegasz,biega,biegamy,biegacie,biegają
biegnąć,bięgnę,biegniesz,biegnie,biegniemy,biegniecie,biegną
bielić,bielę,bielisz,bieli,bielimy,bielicie,bielą
bielić się,bielę się,bielisz się,bieli się,bielimy się,bielicie się,bielą się
bierzmować,bierzmuję,bierzmujesz,bierzmuje,bierzmujemy,bierzmujecie,bierzmują
biesiadować,biesiaduję,biesiadujesz,biesiaduje,biesiadujemy,biesiadujecie,biesiadują
bieżeć,bieżę,bieżysz,bieży,bieżymy,bieżycie,bieżą
biglować,bigluję,biglujesz,bigluje,biglujemy,biglujecie,biglują
bigować,biguję,bigujesz,biguje,bigujemy,bigujecie,bigują
bilansować,bilansuję,bilansujesz,bilansuje,bilansujemy,bilansujecie,bilansują
bilansować się,bilansuję się,bilansujesz się,bilansuje się,bilansujemy się,bilansujecie się,bilansują się
bimbać,bimbam,bimbasz,bimba,bimbamy,bimbacie,bimbają
bisować,bisuję,bisujesz,bisuje,bisujemy,bisujecie,bisują
bisurmanić,bisurmanię,bisurmanisz,bisurmani,bisurmanimy,bisurmanicie,bisurmanią
biurokratycznieć,biurokratycznieję,biurokratyczniejesz,biurokratycznieje,biurokratyczniejemy,biurokratyczniejecie,biurokratycznieją
blachować,blachuję,blachujesz,blachuje,blachujemy,blachujecie,blachują
blaknąć,blaknę,blakniesz,blaknie,blakniemy,blakniecie,blakną
blefować,blefuję,blefujesz,blefuje,blefujemy,blefujecie,blefują
blichować,blichuję,blichujesz,blichuje,blichujemy,blichujecie,blichują
blokować,blokuję,blokujesz,blokuje,blokujemy,blokujecie,blokują
blokować się,blokuję się,blokujesz się,blokuje się,blokujemy się,blokujecie się,blokują się
bluźnić,bluźnię,bluźnisz,bluźni,bluźnimy,bluźnicie,bluźnią
blyndować,blynduję,blyndujesz,blynduje,blyndujemy,blyndujecie,blyndują
boczyć się,boczę się,boczysz się,boczy się,boczymy się,boczycie się,boczą się
bogacić,bogacę,bogacisz,bogaci,bogacimy,bogacicie,bogacą
bogacić się,bogacę się,bogacisz się,bogaci się,bogacimy się,bogacicie się,bogacą się
bojkotować,bojkotuję,bojkotujesz,bojkotuje,bojkotujemy,bojkotujecie,bojkotują
boksować,boksuję,boksujesz,boksuje,boksujemy,boksujecie,boksują
bombardować,bombarduję,bombardujesz,bombarduje,bombardujemy,bombardujecie,bombardują
bomblować,bombluję,bomblujesz,bombluje,bomblujemy,bomblujecie,bomblują
borgować,borguję,borgujesz,borguje,borgujemy,borgujecie,borgują
borować,boruję,borujesz,boruje,borujemy,borujecie,borują
borykać się,borykam się,borykasz się,boryka się,borykamy się,borykacie się,borykają się
bóść,bodę,bodziesz,bodzie,bodziemy,bodziecie,bodą
brać,biorę,bierzesz,bierze,bierzemy,bierzecie,biorą
brać się,biorę się,bierzesz się,bierze się,bierzemy się,bierzecie się,biorą się
bradziażyć,bradziażę,bradziażysz,bradziaży,bradziażymy,bradziażycie,bradziażą
braknąć,braknę,brakniesz,braknie,brakniemy,brakniecie,brakną
brakować,brakuję,brakujesz,brakuje,brakujemy,brakujecie,brakują
bramować,bramuję,bramujesz,bramuje,bramujemy,bramujecie,bramują
brandzlować się,brandzluję się,brandzlujesz się,brandzluje się,brandzlujemy się,brandzlujecie się,brandzlują się
bratać się,bratam się,bratasz się,brata się,bratamy się,bratacie się,bratają się
brawędzić,brawędzę,brawędzisz,brawędzi,brawędzimy,brawędzicie,brawędzą
brechtać,brechtam,brechtasz,brechta,brechtamy,brechtacie,brechtają
bredzić,bredzę,bredzisz,bredzi,bredzimy,bredzicie,bredzą
brnąć,brnę,brniesz,brnie,brniemy,brniecie,brną
brodacieć,brodacieję,brodaciejesz,brodacieje,brodaciejemy,brodaciejecie,brodacieją
brodzić,brodzę,brodzisz,brodzi,brodzimy,brodzicie,brodzą
broić,broję,broisz,broi,broimy,broicie,broją
bronić,bronię,bronisz,broni,bronimy,bronicie,bronią
bronić się,bronię się,bronisz się,broni się,bronimy się,bronicie się,bronią się
bronować,bronuję,bronujesz,bronuje,bronujemy,bronujecie,bronują
brudzić,brudzę,brudzisz,brudzi,brudzimy,brudzicie,brudzą
brudzić się,brudzę się,brudzisz się,brudzi się,brudzimy się,brudzicie się,brudzą się
brukować,brukuję,brukujesz,brukuje,brukujemy,brukujecie,brukują
brusić,bruszę,brusisz,brusi,brusimy,brusicie,bruszą
bruszyć,bruszę,bruszysz,bruszy,bruszymy,bruszycie,bruszą
brykać,brykam,brykasz,bryka,brykamy,brykacie,brykają
bryknąć,brykę,brykniesz,bryknie,brykniemy,brykniecie,brykną
bryzgać,bryzgam,bryzgasz,bryzga,bryzgamy,bryzgacie,bryzgają
bryznąć,bryzgnę,bryzgniesz,bryzgnie,bryzgniemy,bryzgniecie,bryzgną
brzdąkać,brzdąkam,brzdąkasz,brzdąka,brzdąkamy,brzdąkacie,brzdąkają
brzdąknąć,brzdąknę,brzdąkniesz,brzdąknie,brzdąkniemy,brzdąkniecie,brzdąkną
brzęczeć,brzęczę,brzęczysz,brzęczy,brzęczymy,brzęczycie,brzęczą
brzmieć,brzmię,brzmisz,brzmi,brzmimy,brzmicie,brzmią
brzydzić się,brzydzę się,brzydzisz się,brzydzi się,brzydzimy się,brzydzicie się,brzydzą się
buchać,bucham,buchasz,bucha,buchamy,buchacie,buchają
buchnąć,buchnę,buchniesz,buchnie,buchniemy,buchniecie,buchną
budować,buduję,budujesz,buduje,budujemy,budujecie,budują
budować się,buduję się,budujesz się,buduje się,budujemy się,budujecie się,budują się
budzić,budzę,budzisz,budzi,budzimy,budzicie,budzą
budzić się,budzę się,budzisz się,budzi się,budzimy się,budzicie się,budzą się
bujać,bujam,bujasz,buja,bujamy,bujacie,bujają
bukować,bukuję,bukujesz,bukuje,bukujemy,bukujecie,bukują
buksować,buksuję,buksujesz,buksuje,buksujemy,buksujecie,buksują
bulić,bulę,bulisz,buli,bulimy,bulicie,bulą
bulwersować,bulwersuję,bulwersujesz,bulwersuje,bulwersujemy,bulwersujecie,bulwersują
bumblować,bumbluję,bumblujesz,bumbluje,bumblujemy,bumblujecie,bumblują
bumelować,bumeluję,bumelujesz,bumeluje,bumelujemy,bumelujecie,bumelują
buntować,buntuję,buntujesz,buntuje,buntujemy,buntujecie,buntują
buntować się,buntuję się,buntujesz się,buntuje się,buntujemy się,buntujecie się,buntują się
burzyć,burzę,burzysz,burzy,burzymy,burzycie,burzą
burzyć się,burzę się,burzysz się,burzy się,burzymy się,burzycie się,burzą się
buszować,buszuję,buszujesz,buszuje,buszujemy,buszujecie,buszują
butwieć,butwieję,butwiejesz,butwieje,butwiejemy,butwiejecie,butwieją
być,jestem,jesteś,jest,jesteśmy,jesteście,są
bywać,bywam,bywasz,bywa,bywamy,bywacie,bywają
bzyczeć,bzyczę,bzyczysz,bzyczy,bzyczymy,bzyczycie,bzyczą
bzykać,bzykam,bzykasz,bzyka,bzykamy,bzykacie,bzykają
bzyknąć,bzyknę,bzykniesz,bzyknie,bzykniemy,bzykniecie,bzykną
błagać,błagam,błagasz,błaga,błagamy,błagacie,błagają
błąkać się,błąkam się,błąkasz się,błąka się,błąkamy się,błąkacie się,błąkają się
błaźnić się,błaźnię się,błaźnisz się,błaźni się,błaźnimy się,błaźnicie się,błaźnią się
błaznować,błaznuję,błaznujesz,błaznuje,błaznujemy,błaznujecie,błaznują
błękitnieć,błękitnieję,błękitniejesz,błękitnieje,błękitniejemy,błękitniejecie,błękitnieją
błogosławić,błogosławię,błogosławisz,błogosławi,błogosławimy,błogosławicie,błogosławią
błyskać,błyskam,błyskasz,błyska,błyskamy,błyskacie,błyskają
błysnąć,błysnę,błyśniesz,błyśnie,błyśniemy,błyśniecie,błysną
błyszczeć,błyszczę,błyszczysz,błyszczy,błyszczymy,błyszczycie,błyszczą
cackać,cackam,cackasz,cacka,cackamy,cackacie,cackają
capić,capię,capisz,capi,capimy,capicie,capią
caplować,capluję,caplujesz,capluje,caplujemy,caplujecie,caplują
całować,całuję,całujesz,całuje,całujemy,całujecie,całują
całować się,całuję się,całujesz się,całuje się,całujemy się,całujecie się,całują się
cechować,cechuję,cechujesz,cechuje,cechujemy,cechujecie,cechują
cedować,ceduję,cedujesz,ceduje,cedujemy,cedujecie,cedują
cedzić,cedzę,cedzisz,cedzi,cedzimy,cedzicie,cedzą
celebrować,celebruję,celebrujesz,celebruje,celebrujemy,celebrujecie,celebrują
celować,celuję,celujesz,celuje,celujemy,celujecie,celują
cembrować,cembruję,cembrujesz,cembruje,cembrujemy,cembrujecie,cembrują
cementować,cementuję,cementujesz,cementuje,cementujemy,cementujecie,cementują
cementować się,cementuję się,cementujesz się,cementuje się,cementujemy się,cementujecie się,cementują się
cenić,cenię,cenisz,ceni,cenimy,cenicie,cenią
cenić się,cenię się,cenisz się,ceni się,cenimy się,cenicie się,cenią się
centralizować,centralizuję,centralizujesz,centralizuje,centralizujemy,centralizujecie,centralizują
cenzurować,cenzuruję,cenzurujesz,cenzuruje,cenzurujemy,cenzurujecie,cenzurują
cerować,ceruję,cerujesz,ceruje,cerujemy,cerujecie,cerują
certolić się,certolę się,certolisz się,certoli się,certolimy się,certolicie się,certolą się
certować się,certuję się,certujesz się,certuje się,certujemy się,certujecie się,certują się
chabić,chabię,chabisz,chabi,chabimy,chabicie,chabią
chadzać,chadzam,chadzasz,chadza,chadzamy,chadzacie,chadzają
chajtać się,chajtam się,chajtasz się,chajta się,chajtamy się,chajtacie się,chajtają się
chajtnąć się,chajtnę się,chajtniesz się,chajtnie się,chajtniemy się,chajtniecie się,chajtną się
chapsnąć,chapsnę,chapsniesz,chapsnie,chapsniemy,chapsniecie,chapsną
charakteryzować,charakteryzuję,charakteryzujesz,charakteryzuje,charakteryzujemy,charakteryzujecie,charakteryzują
charakteryzować się,charakteryzuję się,charakteryzujesz się,charakteryzuje się,charakteryzujemy się,charakteryzujecie się,charakteryzują się
charczeć,charczę,charczysz,charczy,charczymy,charczycie,charczą
charkać,charkam,charkasz,charka,charkamy,charkacie,charkają
chatować,chatuję,chatujesz,chatuje,chatujemy,chatujecie,chatują
chałturzyć,chałturzę,chałturzysz,chałturzy,chałturzymy,chałturzycie,chałturzą
chcieć,chcę,chcesz,chce,chcemy,chcecie,chcą
chechłać,chechłam,chechłasz,chechła,chechłamy,chechłacie,chechłają
chędożyć,chędożę,chędożysz,chędoży,chędożymy,chędożycie,chędożą
chichotać,chichotam,chichotasz,chichota,chichotamy,chichotacie,chichotają
chlać,chleję,chlejesz,chleje,chlejemy,chlejecie,chleją
chlapać,chlapię,chlapiesz,chlapie,chlapiemy,chlapiecie,chlapią
chlapać się,chlapię się,chlapiesz się,chlapie się,chlapiemy się,chlapiecie się,chlapią się
chlapnąć,chlapnę,chlapniesz,chlapniesz,chlapnie,chlapniemy,chlapniecie
chlastać,chlaszczę,chlaszczesz,chlaszcze,chlaszczemy,chlaszczecie,chlaszczą
chlipać,chlipię,chlipiesz,chlipie,chlipiemy,chlipiecie,chlipią
chlorować,chloruję,chlorujesz,chloruje,chlorujemy,chlorujecie,chlorują
chlubić się,chlubię się,chlubisz się,chlubi się,chlubimy się,chlubicie się,chlubią się
chlupać,chlupię,chlupiesz,chlupie,chlupiemy,chlupiecie,chlupią
chlupnąć,chlupnę,chlupniesz,chlupnie,chlupniemy,chlupniecie,chlupną
chlupotać,chlupotam,chlupotasz,chlupota,chlupotamy,chlupotacie,chlupotają
chlusnąć,chlusnę,chluśniesz,chluśnie,chluśniemy,chluśniecie,chlusną
chlustać,chlustam; chluszczę,chlustasz; chluszczesz,chlusta; chluszcze,chlustamy; chluszczemy,chlustacie; chluszczecie,chlustają; chluszczą
chmurzyć,chmurzę,chmurzysz,chmurzy,chmurzymy,chmurzycie,chmurzą
chmurzyć się,chmurzę się,chmurzysz się,chmurzy się,chmurzymy się,chmurzycie się,chmurzą się
chodzić,chodzę,chodzisz,chodzi,chodzimy,chodzicie,chodzą
chomikować,chomikuję,chomikujesz,chomikuje,chomikujemy,chomikujecie,chomikują
chorować,choruję,chorujesz,choruje,chorujemy,chorujecie,chorują
chorzeć,chorzeję,chorzejesz,chorzeje,chorzejemy,chorzejecie,chorzeją
chować,chowam,chowasz,chowa,chowamy,chowacie,chowają
chować się,chowam się,chowasz się,chowa się,chowamy się,chowacie się,chowają się
chrabęścić,chrabęszczę,chrabęścisz,chrabęści,chrabęścimy,chrabęścicie,chrabęszczą
chrapać,chrapię,chrapiesz,chrapie,chrapiemy,chrapiecie,chrapią
chrapnąć,chrapnę,chrapniesz,chrapnie,chrapniemy,chrapniecie,chrapną
chromać,chromam,chromasz,chroma,chromamy,chromacie,chromają
chromolić,chromolę,chromolisz,chromoli,chromolimy,chromolicie,chromolą
chronić,chronię,chronisz,chroni,chronimy,chronicie,chronią
chrystianizować,chrystianizuję,chrystianizujesz,chrystianizuje,chrystianizujemy,chrystianizujecie,chrystianizują
chrząknąć,chrząknę,chrząkniesz,chrząknie,chrząkniemy,chrząkniecie,chrząkną
chrzanić,chrzanię,chrzanisz,chrzani,chrzanimy,chrzanicie,chrzanią
chrząsnąć,chrząsnę,chrząśniesz,chrząśnie,chrząśniemy,chrząśniecie,chrząsną
chrząstnąć,chrząstnę,chrząstniesz,chrząstnie,chrząstniemy,chrząstniecie,chrząstną
chrzcić,chrzczę,chrzcisz,chrzci,chrzcimy,chrzcicie,chrzczą
chrzcić się,chrzczę się,chrzcisz się,chrzci się,chrzcimy się,chrzcicie się,chrzczą się
chrzęścić,chrzęszczę,chrzęścisz,chrzęści,chrzęścimy,chrzęścicie,chrzęszczą
chrzęsnąć,chrzęsnę,chrzęśniesz,chrzęśnie,chrzęśniemy,chrzęśniecie,chrzęsną
chrzęstnąć,chrzęstnę,chrzęstniesz,chrzęstnie,chrzęstniemy,chrzęstniecie,chrzęstną
chrzęszczeć,chrzęszczę,chrzęszczysz,chrzęszczy,chrzęszczymy,chrzęszczycie,chrzęszczą
chuchać,chucham,chuchasz,chucha,chuchamy,chuchacie,chuchają
chuchnąć,chuchnę,chuchniesz,chuchnie,chuchniemy,chuchniecie,chuchną
chwalić,chwalę,chwalisz,chwali,chwalimy,chwalicie,chwalą
chwalić się,chwalę się,chwalisz się,chwali się,chwalimy się,chwalicie się,chwalą się
chwostać,chwostam,chwostasz,chwosta,chwostamy,chwostacie,chwostają
chwycić,chwycę,chwycisz,chwyci,chwycimy,chwycicie,chwycą
chwycić się,chwycę się,chwycisz się,chwyci się,chwycimy się,chwycicie się,chwycą się
chwytać,chwytam,chwytasz,chwyta,chwytamy,chwytacie,chwytają
chwytać się,chwytam się,chwytasz się,chwyta się,chwytamy się,chwytacie się,chwytają się
chybiać,chybiam,chybiasz,chybia,chybiamy,chybiacie,chybiają
chybić,chybię,chybisz,chybi,chybimy,chybicie,chybią
chybotać się,chybotam się,chybotasz się,chybota się,chybotamy się,chybotacie się,chybotają się
chylić,chylę,chylisz,chyli,chylimy,chylicie,chylą
chynąć się,chynę się,chyniesz się,chynie się,chyniemy się,chyniecie się,chyną się
chłeptać,chłepczę,chłepczesz,chłepcze,chłepczemy,chłepczecie,chłepczą
chłodzić,chłodzę,chłodzisz,chłodzi,chłodzimy,chłodzicie,chłodzą
chłodzić się,chłodzę się,chłodzisz się,chłodzi się,chłodzimy się,chłodzicie się,chłodzą się
chłostać,chłostam,chłostasz,chłosta,chłostamy,chłostacie,chłostają
chłostać się,chłostam się,chłostasz się,chłosta się,chłostamy się,chłostacie się,chłostają się
ciąć,tnę,tniesz,tnie,tniemy,tniecie,tną
ciąć się,tnę się,tniesz się,tnie się,tniemy się,tniecie się,tną się
ciągnąć,ciągnę,ciągniesz,ciągnie,ciągniemy,ciągniecie,ciągną
ciągnąć się,ciągnę się,ciągniesz się,ciągnie się,ciągniemy się,ciągniecie się,ciągną się
ciążyć,ciążę,ciążysz,ciąży,ciążymy,ciążycie,ciążą
ciekać,ciekam,ciekasz,cieka,ciekamy,ciekacie,ciekają
ciekawić,ciekawię,ciekawisz,ciekawi,ciekawimy,ciekawicie,ciekawią
ciemiężyć,ciemiężę,ciemiężysz,ciemięży,ciemiężymy,ciemiężycie,ciemiężą
ciemnieć,ciemnieję,ciemniejesz,ciemnieje,ciemniejemy,ciemniejecie,ciemnieją
cieniować,cieniuję,cieniujesz,cieniuje,cieniujemy,cieniujecie,cieniują
ciepać,ciepię,ciepiesz,ciepie,ciepiemy,ciepiecie,ciepią
ciepnąć,ciepnę,ciepniesz,ciepnie,ciepniemy,ciepniecie,ciepną
cierlić,cierlę,cierlisz,cierli,cierlimy,cierlicie,cierlą
cierpieć,cierpię,cierpisz,cierpi,cierpimy,cierpicie,cierpią
cierzpać,cierzpam,cierzpasz,cierzpa,cierzpamy,cierzpacie,cierzpają
cieszyć,cieszę,cieszysz,cieszy,cieszymy,cieszycie,cieszą
cieszyć się,cieszę się,cieszysz się,cieszy się,cieszymy się,cieszycie się,cieszą się
ciosać,ciosam,ciosasz,ciosa,ciosamy,ciosacie,ciosają
ciskać,ciskam,ciskasz,ciska,ciskamy,ciskacie,ciskają
ciskać się,ciskam się,ciskasz się,ciska się,ciskamy się,ciskacie się,ciskają się
cisnąć,cisnę,ciśniesz,ciśnie,ciśniemy,ciśniecie,cisną
cisnąć się,cisnę się,ciśniesz się,ciśnie się,ciśniemy się,ciśniecie się,cisną się
ciulać,ciulam,ciulasz,ciula,ciulamy,ciulacie,ciulają
ciulnąć,ciulnę,ciulniesz,ciulnie,ciulniemy,ciulniecie,ciulną
ciupać,ciupię,ciupiesz,ciupie,ciupiemy,ciupiecie,ciupią
ciupciać,ciupciam,ciupciasz,ciupcia,ciupciamy,ciupciacie,ciupciają
ciupnąć,ciupnę,ciupniesz,ciupnie,ciupniemy,ciupniecie,ciupną
ciułać,ciułam,ciułasz,ciuła,ciułamy,ciułacie,ciułają
clić,clę,clisz,cli,climy,clicie,clą
ćmić,ćmię,ćmisz,ćmi,ćmimy,ćmicie,ćmią
cmokać,cmokam,cmokasz,cmoka,cmokamy,cmokacie,cmokają
cmokać się,cmokam się,cmokasz się,cmoka się,cmokamy się,cmokacie się,cmokają się
cmoknąć,cmoknę,cmokniesz,cmoknie,cmokniemy,cmokniecie,cmokną
cmoknąć się,cmoknę się,cmokniesz się,cmoknie się,cmokniemy się,cmokniecie się,cmokną się
cofać,cofam,cofasz,cofa,cofamy,cofacie,cofają
cofać się,cofam się,cofasz się,cofa się,cofamy się,cofacie się,cofają się
ćpać,ćpam,ćpasz,ćpa,ćpamy,ćpacie,ćpają
ćpnąć,ćpnę,ćpniesz,ćpnie,ćpniemy,ćpniecie,ćpną
cuchnąć,chuchnę,chuchniesz,chuchnie,chuchniemy,chuchniecie,chuchną
cucić,cucę,cucisz,cuci,cucimy,cucicie,cucą
cucić się,cucę się,cucisz się,cuci się,cucimy się,cucicie się,cucą się
cudzić,cudzę,cudzisz,cudzi,cudzimy,cudzicie,cudzą
